MW,AMW,Sv,Se,Sp,H%,C%,N%,O%,D/Dtr06,ZM1Kup,CENT,Psi_e_1,X2v,VE1_A,VE1_Dz(Z),Chi_Dz(p),SpMAD_Dz(p),ATSC2m,ATSC3m,ATSC3s,Eta_F,Eta_B,SpMax_EA(ed),SM08_EA,SsOH,SdO,SsCl,AMR,MLOGP2
126.59,8.439,9.935,14.858,10.903,46.7,46.7,0,0,22.133,96.203,24,1.106,2.156,2.722,2.321,0.802,2.794,5.215,7.746,7.977,4.337,0.195,7.95,0,0,0,5.709,35.904,10.302
108.15,6.759,9.822,15.862,10.5,50,43.8,0,6.3,22.133,102.15,24,1.126,1.786,2.722,2.475,0.688,3.59,5.401,6.578,10.675,5.01,0.195,7.95,0,8.919,0,0,32.793,3.456
139.12,9.275,10.219,15.851,9.892,33.3,40,6.7,20,30.514,225.266,68,1.505,1.746,2.965,2.757,0.454,5.647,2.725,4.966,45.21,8.686,0.285,9.387,7.794,8.839,20.135,0,35.077,1.816
128.56,9.889,9.123,13.302,9.597,38.5,46.2,0,7.7,22.133,128.353,12,1.131,1.913,2.742,2.552,0.683,3.606,2.293,7.323,16.921,5.047,0.212,6.623,0,8.698,0,5.501,32.557,4.525
288.05,16.944,12.76,22.454,8.818,0,29.4,0,0,0,1125.333,294,-99,2.719,3.606,3.631,0.202,12.537,2.036,1.908,256.663,18.888,1.414,18.63,9.555,0,0,0,26.873,17.665
94.12,7.24,8.295,12.978,8.739,46.2,46.2,0,7.7,18.267,94.15,14,0.971,1.336,2.594,2.337,0.737,3.312,3.792,5.358,12.869,4.426,0.106,6.124,0,8.632,0,0,27.752,2.268
136.16,7.564,11.537,18.189,11.955,44.4,44.4,0,11.1,31.314,161.885,72,1.442,2.056,2.985,2.946,0.48,5.019,5.574,8.021,31.911,6.965,0.212,7.243,7.042,8.367,10.169,0,37.366,3.117
119.13,8.509,9.79,14.196,9.983,35.7,50,7.1,7.1,26.886,153.381,53,1.207,1.539,2.824,2.65,0.522,4.436,2.967,4.825,10.625,6.692,0.068,6.951,4.403,0,9.683,0,33.116,2.605
98.91,24.728,3.897,4.858,3.932,0,25,0,25,0,118.142,6,0.418,1.106,1.932,1.745,0.886,2.097,2.095,0,0,1.527,0.182,4,9.003,0,8.975,8.802,17.215,0.041
137.32,34.33,4.46,4.713,5.778,0,0,0,0,0,94.223,6,0.449,5.175,1.932,-99,1.574,0.892,0.026,0,0,-0.148,0.182,4,0,0,0,14.611,25.245,1.86
208.22,34.703,6.642,7.244,8.256,0,0,0,0,0,148.629,20,1.148,17.25,2.288,-99,1.65,1.115,0.039,0,0,-0.046,0.678,16,0,0,0,24.889,-99,4.957
153.32,30.664,5.175,6.04,6.233,0,0,0,20,0,141.958,12,0.796,7.038,2.121,1.657,1.61,1.215,1.936,0,0,1.446,0.414,9,0,0,9.512,13.85,25.367,0.041
148.12,9.875,11.198,15.749,10.886,26.7,53.3,0,20,21.012,243.207,65,1.781,2.223,2.937,3.014,0.539,5.043,2.281,3.893,34.935,9.002,0.298,10.725,5.963,0,21.666,0,36.369,4.804
147.14,9.196,11.505,16.524,11.438,31.3,50,6.3,12.5,21.012,209.53,65,1.76,2.286,2.937,3.028,0.569,4.672,2.948,4.792,24.192,8.786,0.298,10.725,2.747,9.081,10.928,0,38.427,4.804
85.17,5.01,8.655,16.52,9.813,64.7,29.4,5.9,0,14.4,38.333,0,0.842,1.811,2.449,2.315,0.585,3.479,7.279,7.827,3.894,0.77,0,4,0.001,0,0,0,26.835,0.668
139.12,9.275,10.219,15.851,9.892,33.3,40,6.7,20,30.514,225.266,60,1.483,1.774,2.995,2.721,0.44,5.871,2.725,4.928,43.728,8.557,0.302,8.192,7.794,8.716,20.072,0,35.077,1.816
137.15,8.068,11.031,17.407,11.199,41.2,41.2,5.9,11.8,30.514,193.116,60,1.445,2.093,2.995,2.678,0.47,5.314,5.215,6.089,9.917,7.886,0.302,8.192,7.794,0,20.236,0,38.424,5.02
162.21,7.373,13.865,22.065,14.511,45.5,40.9,9.1,4.5,40.537,170.36,112,1.717,2.375,3.26,3.251,0.441,5.34,6.639,9.071,33.496,9.564,0.302,7.892,0.993,0,10.533,0,48.507,0.57
138.206,23.034,11.61,5.309,51.682,0,16.7,0,50,0,159.487,16,0.759,8.032,2.313,2.385,0.456,4.676,3.041,2.795,24.287,-7.173,0.144,5.118,7.387,0,9.351,0,-99,2.125
138.548,23.091,8.183,6.738,27.716,0,0,0,66.7,0,218.286,20,1.087,3.043,2.285,1.667,0.741,3.124,3.463,2.361,24.454,1.444,0.353,9.823,0,0,18.483,0,-99,13.598
58.09,5.809,5.295,9.978,5.739,60,30,0,10,0,61.736,4,0.412,0.575,1.946,1.855,0.663,2.63,3.333,3.219,15.818,1.304,0,2,2.72,0,9.174,0,16.345,0.041
74.09,6.735,6.01,11.305,6.193,54.5,27.3,0,18.2,0,101.885,11,0.594,0.747,2.131,2.101,0.517,3.846,4.049,4.717,39.382,2.021,0.144,4.842,6.849,7.722,9.368,0,17.271,0.018
102.15,6.009,9.064,17.073,9.716,58.8,29.4,0,11.8,0,123.471,26,0.861,1.658,2.5,2.441,0.297,6.433,7.047,7.815,30.013,2.671,0.288,6,7.208,0,10.032,0,26.579,0.991
59.13,4.548,6.129,12.636,7.051,69.2,23.1,7.7,0,0,19.312,4,0.419,0.789,1.946,1.863,0.573,3.04,3.874,3.45,6.388,0.521,0,2,0,0,0,0,19.191,0.12
